uai,effectif_segpa,ips,ecart_type_de_l_ips,ep,ratio_filles_garcons,longueur_nom_etablissement,secteur,effectifs
0780116C,0,87.5,27.8,0,1,22,1,776
0751793S,0,87.1,29.4,0,1,23,1,407
0951098C,43,84.1,26.4,0,1,21,1,676
0622420U,49,75.8,24.2,0,0,21,1,447
9760274U,80,77.0,27.0,0,1,19,1,1375
9760180S,0,89.5,33.4,0,0,29,1,1124
0931224A,0,80.2,23.0,0,1,20,1,671
0331753B,0,85.5,33.3,0,0,15,1,414
0590238N,0,78.8,22.9,0,0,22,1,316
9740576H,0,76.3,26.9,0,0,20,1,431
0550024C,0,86.8,32.6,0,1,17,1,436
7200160L,16,92.5,29.4,0,0,37,1,466
0750591K,0,118.2,41.9,0,0,21,1,536
0840762X,0,82.4,28.0,0,0,25,1,519
0910624J,0,88.5,27.7,0,0,21,1,493
0400648M,0,89.9,31.9,0,0,20,1,582
7200624R,0,117.3,36.2,0,0,25,1,472
0570069R,0,81.4,32.3,0,0,21,1,442
0694497N,0,83.7,26.1,0,0,24,1,268
0730904L,67,93.8,35.3,0,1,23,1,704
0030838V,103,84.3,28.2,0,0,24,1,480
0840664R,60,74.4,24.4,0,1,19,1,717
0541471F,0,76.3,23.1,0,0,23,1,485
0594394F,41,77.3,32.3,0,0,19,1,555
0810061B,100,84.5,31.5,0,1,19,1,503
9760162X,0,66.8,18.5,0,1,17,1,1207
0770033T,0,81.3,25.4,0,1,20,1,427
0622576N,54,65.4,15.7,0,1,14,1,415
0931979W,0,84.1,27.1,0,0,24,1,649
0951697D,58,93.0,30.3,0,0,24,1,723
0501300S,0,88.5,28.0,0,1,24,1,141
0921545E,42,84.1,26.1,0,0,21,1,661
0593484S,31,82.3,27.4,0,0,20,1,685
0381604M,0,80.8,29.3,0,0,15,1,329
0951138W,0,86.2,27.2,0,0,29,1,650
0931709C,0,78.5,20.5,0,0,20,1,410
0931612X,62,75.9,19.8,0,1,16,1,585
0950023J,46,69.8,21.9,0,1,20,1,698
0691480J,0,84.1,26.8,0,1,24,1,654
0020090M,66,75.0,25.3,0,0,19,1,662
9741313J,92,70.3,20.3,0,0,23,1,566
0660018L,0,76.8,22.6,0,1,25,1,629
0170077S,0,70.9,19.6,0,1,28,1,493
0511085C,0,87.6,33.6,0,1,22,1,635
0761739C,64,70.1,18.6,0,0,17,1,328
9740065C,0,78.6,28.5,0,1,22,1,549
0570318L,0,79.5,27.4,0,1,19,1,416
0131757P,0,99.6,31.2,0,1,17,1,598
0911036G,64,74.0,19.9,0,1,18,1,601
0311630D,86,74.6,22.3,0,1,16,1,575
0810126X,59,89.9,31.8,0,0,26,1,417
0931860S,0,80.9,28.5,0,0,26,1,539
0941034N,0,84.0,26.1,0,0,22,1,454
9720351Z,62,88.2,31.2,0,0,18,1,257
0572183N,0,91.2,30.9,0,0,26,1,384
0595169Y,0,78.8,22.2,0,0,18,1,317
0754355B,37,97.4,37.1,0,0,23,1,433
0692414Z,42,110.0,37.8,0,0,28,1,661
0781977A,0,75.7,22.8,0,0,18,1,345
9740044E,0,79.9,28.7,0,1,23,1,395
0301208A,0,83.3,27.8,0,0,20,1,567
0131264D,0,75.4,19.5,0,1,18,1,511
0594300D,38,69.4,21.3,0,0,14,1,354
0681127F,76,70.1,20.2,0,1,20,1,714
0941044Z,0,82.3,24.2,0,0,21,1,579
0910049J,0,82.0,26.6,0,0,20,1,959
0931485J,0,78.0,24.8,0,1,22,1,645
0340118U,0,70.9,26.4,0,1,16,1,508
0572355A,65,88.1,30.5,0,0,20,1,466
0751706X,0,111.9,43.9,0,1,21,1,434
0590190L,0,64.6,18.5,0,1,27,1,484
9760042S,0,86.8,32.0,0,1,20,1,966
0753939Z,0,81.1,29.5,0,0,19,1,321
0332082J,0,89.1,32.5,0,1,24,1,477
0622581U,0,83.0,26.2,0,0,22,1,433
0590031N,48,76.9,23.9,0,1,17,1,555
0590002G,59,81.5,25.8,0,1,22,1,824
0881099S,0,94.4,32.5,0,0,29,1,450
0572587C,46,89.6,29.9,0,0,19,1,452
0300062E,0,78.9,24.9,0,1,18,1,552
0601178E,47,79.5,26.0,0,0,22,1,788
0950722U,0,88.7,30.0,0,1,19,1,604
0421684C,0,74.5,26.6,0,1,21,1,316
0171117X,0,103.9,38.3,0,1,25,1,589
0570104D,0,68.3,25.5,0,0,28,1,490
0573269U,0,77.1,26.3,0,0,25,1,815
0382035F,85,97.5,43.7,0,1,21,1,675
9720842H,0,87.8,24.8,0,0,26,1,189
0681757R,0,76.6,24.2,0,1,18,1,334
0940749D,0,75.2,20.9,0,1,21,1,556
9710033J,0,90.8,34.8,0,0,20,1,50
0761782Z,64,69.3,18.8,0,1,21,1,427
0740911N,0,85.6,31.7,0,0,37,1,951
0610057F,51,82.1,28.9,0,0,19,1,412
0311687R,0,112.3,36.5,0,0,17,1,619
0511251H,57,68.2,18.4,0,1,20,1,447
0921179G,0,102.3,31.4,0,0,24,1,296
0921621M,0,85.4,28.3,0,0,18,1,718
0622098U,0,84.1,27.8,0,1,18,1,347
0780577D,0,82.4,24.1,0,0,22,1,376
0920594W,0,92.0,28.1,0,1,18,1,458
0383370G,0,89.4,35.4,0,1,20,1,560
0681284B,0,67.9,19.9,0,0,12,1,460
0594408W,39,73.3,20.7,0,0,16,1,419
0511256N,66,87.0,27.4,0,0,17,1,450
0931188L,0,81.4,23.8,0,0,24,1,715
9741189Z,0,68.3,18.2,0,1,20,1,633
0331419N,0,107.4,35.7,0,1,21,1,620
0131265E,0,77.9,26.5,0,0,19,1,500
0280716B,53,78.4,23.1,0,0,29,1,507
0572166V,52,88.4,31.6,0,0,19,1,660
0931199Y,0,82.2,22.8,0,1,42,1,664
0280924C,0,92.0,32.1,0,0,26,1,385
0860799B,0,80.5,30.7,0,1,19,1,537
0300947S,57,78.8,24.9,0,0,23,1,611
9730182K,0,84.3,30.5,0,1,30,1,905
9730130D,0,80.3,27.6,0,0,21,1,610
0931209J,0,77.0,22.8,0,0,24,1,388
0750550R,0,105.4,41.6,0,0,19,1,384
0762089H,0,87.3,30.4,0,0,22,1,438
0622268D,44,84.3,29.7,0,1,19,1,552
0622434J,0,88.4,29.3,0,1,22,1,459
0932580Z,0,85.1,28.0,0,0,29,1,562
0931005M,0,83.6,28.5,0,0,20,1,537
0762679Z,48,88.9,29.4,0,0,20,1,408
9740703W,0,78.4,26.4,0,1,37,1,641
0931219V,0,94.9,36.7,0,1,29,1,539
0660016J,0,78.7,26.8,0,0,20,1,504
0061211J,65,84.3,27.1,0,0,21,1,885
0932262D,0,79.1,23.7,0,1,21,1,674
0594524X,51,73.1,20.8,0,0,19,1,329
0590183D,0,68.3,20.6,0,1,25,1,392
0931217T,0,96.6,36.4,0,0,38,1,542
0921160L,0,87.2,33.1,0,0,29,1,686
0382174G,115,87.4,30.7,0,0,24,1,841
0631238D,66,86.9,30.4,0,0,25,1,681
0930893R,60,77.4,24.5,0,1,28,1,836
0131884C,0,72.8,19.6,0,0,20,1,596
0540088C,0,77.1,18.8,0,1,22,1,226
0280656L,0,82.4,32.3,0,0,18,1,265
0021518P,0,86.5,28.1,0,0,27,1,401
0020054Y,0,67.7,21.7,0,1,17,1,327
0580012Y,0,103.1,29.4,0,0,20,1,115
0932579Y,0,92.2,33.2,0,0,21,1,533
7200027S,0,99.7,29.5,0,1,15,1,109
0820588U,62,96.7,35.2,0,0,24,1,1182
0801341Y,60,81.0,26.0,0,1,21,1,483
0061174U,0,81.1,24.0,0,0,22,1,509
0670004R,52,82.8,31.1,0,0,15,1,705
0761701L,65,89.1,27.0,0,0,20,1,640
0350895H,62,73.9,26.8,0,1,18,1,513
0060840F,61,83.9,26.7,0,0,24,1,830
0931207G,0,85.9,25.6,0,0,23,1,512
9741045T,0,79.1,26.8,0,1,13,1,504
0752606A,0,88.3,25.0,0,1,22,1,375
0132403S,0,86.1,27.8,0,1,23,1,380
9730193X,48,72.0,20.4,0,0,22,1,581
0141268C,0,82.5,30.4,0,0,30,1,633
0931184G,62,78.9,22.0,0,0,19,1,655
0330140Y,46,74.0,25.2,0,0,18,1,567
0931195U,0,79.0,24.7,0,0,23,1,568
0332189A,0,92.9,34.2,0,0,22,1,465
0931186J,0,85.3,27.2,0,1,21,1,581
0390883Y,97,88.0,30.6,0,0,21,1,591
0921778H,0,88.3,26.5,0,1,20,1,388
0594392D,0,85.3,29.8,0,0,20,1,277
0692343X,60,67.3,19.6,0,0,20,1,692
0931221X,77,74.5,24.0,0,0,21,1,595
0573268T,20,67.0,19.4,0,0,22,1,307
0550701N,38,80.7,31.8,0,0,23,1,283
0450069F,0,89.3,27.5,0,0,17,1,451
0771621U,0,92.7,29.5,0,1,24,1,338
0590131X,0,74.4,26.8,0,0,19,1,479
0790004A,0,84.2,22.7,0,0,15,1,167
0290149E,61,73.1,21.5,0,1,17,1,363
0931434D,0,78.9,23.4,0,0,22,1,618
0594293W,0,73.2,22.3,0,0,22,1,531
0300059B,0,72.9,22.5,0,0,19,1,503
0131604Y,0,65.1,16.4,0,1,20,1,551
0594634S,50,72.9,25.1,0,0,22,1,402
0771172F,66,72.7,20.9,0,0,20,1,523
0132412B,93,93.3,30.2,0,1,20,1,745
0950886X,49,76.3,21.7,0,0,20,1,564
0931883S,0,77.8,28.4,0,0,19,1,322
9740645H,63,73.2,26.8,0,0,38,1,1029
0160864C,63,83.6,26.6,0,0,22,1,413
0781986K,0,88.2,31.4,0,1,16,1,277
0820017Y,46,88.2,32.0,0,0,27,1,784
0890024T,0,84.5,28.5,0,1,19,1,494
0911042N,0,86.4,25.1,0,1,19,1,771
0761781Y,43,83.6,24.1,0,0,19,1,387
9730145V,43,77.5,26.1,0,1,19,1,227
0160884Z,0,83.9,27.7,0,0,28,1,317
0622262X,55,82.4,27.7,0,0,20,1,605
0691645N,0,80.6,28.1,0,0,15,1,495
0240055E,0,101.4,28.4,0,0,21,1,187
0761696F,0,88.0,27.1,0,1,22,1,453
0691730F,0,74.2,23.8,0,0,19,1,748
9730381B,48,71.9,15.7,0,0,47,1,212
0421176A,59,65.3,18.2,0,0,20,1,417
0931707A,60,89.9,29.4,0,0,21,1,686
9760368W,110,59.6,18.6,0,0,16,1,1545
0931788N,0,86.1,23.8,0,0,21,1,569
0595782P,0,74.2,23.5,0,1,17,1,328
9740035V,124,75.6,27.8,0,0,25,1,737
0930043S,0,95.5,32.3,0,1,24,1,540
0870072F,0,84.7,33.0,0,1,21,1,668
0280753S,0,93.1,30.3,0,0,22,1,588
0330163Y,47,87.9,29.1,0,0,18,1,517
0572023P,31,78.1,30.3,0,1,25,1,563
9720446C,41,82.0,21.9,0,1,21,1,206
0131261A,0,71.2,19.6,0,0,22,1,411
0870729V,0,73.8,22.9,0,0,25,1,246
9740546A,0,92.0,36.5,0,0,23,1,1092
0631522M,56,73.7,21.7,0,0,20,1,577
0830069Z,47,80.3,25.0,0,0,20,1,888
0920854D,0,94.1,28.6,0,1,24,1,621
0594297A,30,83.9,25.5,0,0,19,1,386
0694295U,0,87.5,26.9,0,0,17,1,475
0100009F,0,83.9,28.9,0,0,20,1,596
0931429Y,0,78.1,20.4,0,0,18,1,673
